Source File,Merchant ID,Merchant Name,Payment Site ID,Payment Site Name,Payment Site Status,Donation Classification,Confidence Level,Score,Matched Indicators / Reason,Needs Manual Review,SIC Code,SIC Description,URL
Payfac,64284,khal ohr zorach acct c,https://secure.cardknox.com/khalohrzorachcharityfund,khalohrzorachcharityfund,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/khalohrzorachcharityfund
Payfac,64652,Zichron Chaim - Donations,https://secure.cardknox.com/zichronchaimdonations,zichronchaimdonations,Unknown,Donation,High,8,Donation term 'donation' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/zichronchaimdonations
Payfac,68231,JDH Charity Fund,https://secure.cardknox.com/jdhcharityfund,jdhcharityfund,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/jdhcharityfund
Traditional,8149,Mivtzar Hakolelim Fundraising,https://secure.cardknox.com/mivtzarhakolelimfundraising,mivtzarhakolelimfundraising,Unknown,Donation,High,8,Donation term 'fundraising' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/mivtzarhakolelimfundraising
Traditional,9746,Yeshivas Ner Moshe,https://secure.cardknox.com/yeshivasnermoshefundraising,yeshivasnermoshefundraising,Unknown,Donation,High,8,Donation term 'fundraising' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/yeshivasnermoshefundraising
Traditional,20200,TAG BP Donation,https://secure.cardknox.com/tagbp,tagbp,Unknown,Donation,High,8,Donation term 'donation' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/tagbp
Traditional,9746,Yeshivas Ner Moshe,https://secure.cardknox.com/yeshivasnermoshefundraising2,yeshivasnermoshefundraising2,Unknown,Donation,High,8,Donation term 'fundraising' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/yeshivasnermoshefundraising2
Traditional,20200,Tag of Boro Park - Donations,https://secure.cardknox.com/tagbp,tagbp,Unknown,Donation,High,8,Donation term 'donation' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/tagbp
Traditional,9746,Yeshivas Ner Moshe,https://secure.cardknox.com/yeshivasnermoshefundraising,yeshivasnermoshefundraising,Unknown,Donation,High,8,Donation term 'fundraising' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/yeshivasnermoshefundraising
Traditional,7741,Chevrah Mezoynes Charity Fund,https://secure.cardknox.com/chevrahmezoynescharityfund,chevrahmezoynescharityfund,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/chevrahmezoynescharityfund
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim,vyazreim,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim
Traditional,7741,Chevrah Mezoynes Charity Fund,https://secure.cardknox.com/chevrahmezoynescharityfund,chevrahmezoynescharityfund,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/chevrahmezoynescharityfund
Traditional,5122,UNITED TALMUDICAL ACADEMY,https://secure.cardknox.com/utamonseyfundraising,utamonseyfundraising,Unknown,Donation,High,8,Donation term 'fundraising' (+5); SIC donation-friendly 'religious organizations' (+3),No,8661,religious organizations,https://secure.cardknox.com/utamonseyfundraising
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim2,vyazreim2,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim2
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreimdonations,vyazreimdonations,Unknown,Donation,High,13,Donation term 'donation' (+5); Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreimdonations
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim04,vyazreim04,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim04
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim111,vyazreim111,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim111
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim6,vyazreim6,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim6
Traditional,6711,Hatzolas Yisroel D'Arizal,https://secure.cardknox.com/ donatetagmontreal1, donatetagmontreal1,Unknown,Donation,High,8,Donation term 'donate' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/ donatetagmontreal1
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim11111,vyazreim11111,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim11111
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim8,vyazreim8,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim8
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim09,vyazreim09,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim09
Traditional,37775,PLEDGER CHARITABLE,https://secure.cardknox.com/pledgercharitableorg,pledgercharitableorg,Unknown,Donation,High,8,Donation term 'charitable' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/pledgercharitableorg
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim10,vyazreim10,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim10
Traditional,8149,Mivtzar Hakolelim Fundraising,https://secure.cardknox.com/mivtzarhakolelimfundraising,mivtzarhakolelimfundraising,Unknown,Donation,High,8,Donation term 'fundraising' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/mivtzarhakolelimfundraising
Traditional,8149,Mivtzar Hakolelim Fundraising,https://secure.cardknox.com/mivtzarhakolelimky,mivtzarhakolelimky,Unknown,Donation,High,8,Donation term 'fundraising' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/mivtzarhakolelimky
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim011,vyazreim011,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim011
Traditional,23673,Cong Ohr Yecheskel,https://secure.cardknox.com/ohryecheskeltzedakahfund,ohryecheskeltzedakahfund,Unknown,Donation,High,8,Donation term 'tzedakah' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/ohryecheskeltzedakahfund
Traditional,18407,Yeshiva Shaarei Arazim,https://secure.cardknox.com/yeshivashaareiarazimdonations,yeshivashaareiarazimdonations,Unknown,Donation,High,8,Donation term 'donation' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/yeshivashaareiarazimdonations
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreimneustadt,vyazreimneustadt,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreimneustadt
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/itzkowitz,itzkowitz,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/itzkowitz
Traditional,40925,EPI - Kupas Tzedakah Vchesed,https://secure.cardknox.com/epi,epi,Unknown,Donation,High,8,Donation term 'tzedakah' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/epi
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim14,vyazreim14,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim14
Traditional,41829,Cong Spruce Charity,https://secure.cardknox.com/congsprucecharity,congsprucecharity,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/congsprucecharity
Traditional,6711,Hatzolas Yisroel D'Arizal,https://secure.cardknox.com/donatetagmontreal,donatetagmontreal,Unknown,Donation,High,8,Donation term 'donate' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/donatetagmontreal
Traditional,5086,Zohar Charity & Educational Fund,https://secure.cardknox.com/zoharcharity,zoharcharity,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/zoharcharity
Traditional,41829,Cong Spruce Charity,https://secure.cardknox.com/congsprucecharity1,congsprucecharity1,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/congsprucecharity1
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreimrosenfeld,vyazreimrosenfeld,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreimrosenfeld
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreimbrach,vyazreimbrach,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreimbrach
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim017,vyazreim017,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim017
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim18,vyazreim18,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim18
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreimstauber,vyazreimstauber,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreimstauber
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/shm,shm,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/shm
Traditional,48338,Yeshivat Lev Torah Monthly Donations,https://secure.cardknox.com/yeshivatlevtorahmonthlydonations,yeshivatlevtorahmonthlydonations,Unknown,Donation,High,8,Donation term 'donation' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/yeshivatlevtorahmonthlydonations
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim020,vyazreim020,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim020
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreimbreuer,vyazreimbreuer,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreimbreuer
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim022,vyazreim022,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim022
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim23,vyazreim23,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim23
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim024,vyazreim024,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim024
Traditional,25222,RCCS,https://secure.cardknox.com/rccssponsorship,rccssponsorship,Unknown,Donation,High,9,Donation term 'sponsor' (+3); Donation term 'sponsorship' (+3); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/rccssponsorship
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim25,vyazreim25,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim25
Traditional,55140,YCY Donation,https://secure.cardknox.com/ycydonation,ycydonation,Unknown,Donation,High,8,Donation term 'donation' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/ycydonation
Traditional,27484,V'yazreim Charity Campaign,https://secure.cardknox.com/vyazreim026,vyazreim026,Unknown,Donation,High,8,Donation term 'charity' (+5); SIC donation-friendly 'adoption agencies - non profit' (+3),No,8398,adoption agencies - non profit,https://secure.cardknox.com/vyazreim026
