merchant_id,merchant_name,email,url,payment_site_name,donation_classification,confidence_level,source_file,sic_code,in_70_donation_links,in_sic_8398
37429,Simchas Yomtov,,https://secure.cardknox.com/simchasyomtov,simchasyomtov,Needs Review,Medium,Payfac,8398,no,yes
21866,Khal Radishitz,,https://secure.cardknox.com/15minhalacha,15minhalacha,Needs Review,Medium,Payfac,8398,no,yes
39428,Cong Chelkom Bacheim,,https://secure.cardknox.com/congchelkombacheim,congchelkombacheim,Needs Review,Medium,Payfac,8398,no,yes
20418,Freehold Kollel,,https://secure.cardknox.com/freeholdkollel,freeholdkollel,Needs Review,Medium,Payfac,8398,no,yes
18894,Khal Zichron Aryeh Leib,,https://secure.cardknox.com/kzal,kzal,Needs Review,Medium,Payfac,8398,no,yes
40930,Far Rockaway/Lawrence Community Eruv Committee,,https://secure.cardknox.com/farrockawaylawrencecommunityeruvcommittee,farrockawaylawrencecommunityeruvcommittee,Needs Review,Medium,Payfac,8398,no,yes
41040,"Yeshuas Chaim, Inc",,https://secure.cardknox.com/yeshuaschaiminc,yeshuaschaiminc,Needs Review,Medium,Payfac,8398,no,yes
38965,Kehal Harfield,,https://secure.cardknox.com/kehalharfield,kehalharfield,Needs Review,Medium,Payfac,8398,no,yes
41005,Emek Bracha,,https://secure.cardknox.com/emekbracha,emekbracha,Needs Review,Medium,Payfac,8398,no,yes
41223,Birchas Menachem,,https://secure.cardknox.com/birchasmenachem,birchasmenachem,Needs Review,Medium,Payfac,8398,no,yes
41376,Yeshivas Vyelipol Lakewood,,https://secure.cardknox.com/yeshivasvyelipollakewood,yeshivasvyelipollakewood,Needs Review,Medium,Payfac,8398,no,yes
41787,Chasdei Raichel,,https://secure.cardknox.com/chasdeiraichel,chasdeiraichel,Needs Review,Medium,Payfac,8398,no,yes
41400,Nitfei Dvash,,https://secure.cardknox.com/nitfeidvash,nitfeidvash,Needs Review,Medium,Payfac,8398,no,yes
42890,Aleh Lemaala,,https://secure.cardknox.com/alehlemaala1,alehlemaala1,Needs Review,Medium,Payfac,8398,no,yes
43267,Reshes Cleveland,,https://secure.cardknox.com/reshescleveland,reshescleveland,Needs Review,Medium,Payfac,8398,no,yes
43427,Cong Birchas Yitzchok,,https://secure.cardknox.com/congbirchasyitzchok,congbirchasyitzchok,Needs Review,Medium,Payfac,8398,no,yes
44096,Komimiyus/ The North Shore Torah Center,,https://secure.cardknox.com/komimiyusthenorthshoretorahcenter,komimiyusthenorthshoretorahcenter,Needs Review,Medium,Payfac,8398,no,yes
44565,CONGREGATION LEISURE LAKE SHUL,,https://secure.cardknox.com/congregationleisurelakeshul,congregationleisurelakeshul,Needs Review,Medium,Payfac,8398,no,yes
44775,Bais Nosson Zvi,,https://secure.cardknox.com/baisnossonzvi,baisnossonzvi,Needs Review,Medium,Payfac,8398,no,yes
44974,Ohr,,https://secure.cardknox.com/ohr,ohr,Needs Review,Medium,Payfac,8398,no,yes
45470,Congregation Of Charm Circle,,https://secure.cardknox.com/ccc,ccc,Needs Review,Medium,Payfac,8398,no,yes
45470,Congregation Of Charm Circle,,https://secure.cardknox.com/congregationofcharmcircle1,congregationofcharmcircle1,Needs Review,Medium,Payfac,8398,no,yes
