merchant_id,merchant_name,email,url,payment_site_name,donation_classification,confidence_level,source_file,sic_code,in_70_donation_links,in_sic_8398
37429,Simchas Yomtov,simchasyomtov@gmail.com,https://secure.cardknox.com/simchasyomtov,simchasyomtov,Needs Review,Medium,Payfac,8398,no,yes
21866,Khal Radishitz,apples7200@gmail.com,https://secure.cardknox.com/15minhalacha,15minhalacha,Needs Review,Medium,Payfac,8398,no,yes
39428,Cong Chelkom Bacheim,hr4531@gmail.com,https://secure.cardknox.com/congchelkombacheim,congchelkombacheim,Needs Review,Medium,Payfac,8398,no,yes
20418,Freehold Kollel,thefreeholdkollel@gmail.com,https://secure.cardknox.com/freeholdkollel,freeholdkollel,Needs Review,Medium,Payfac,8398,no,yes
18894,Khal Zichron Aryeh Leib,kzaldonations@gmail.com,https://secure.cardknox.com/kzal,kzal,Needs Review,Medium,Payfac,8398,no,yes
40930,Far Rockaway/Lawrence Community Eruv Committee,yudihoch@gmail.com,https://secure.cardknox.com/farrockawaylawrencecommunityeruvcommittee,farrockawaylawrencecommunityeruvcommittee,Needs Review,Medium,Payfac,8398,no,yes
41040,"Yeshuas Chaim, Inc",yeshuaschaim@gmail.com,https://secure.cardknox.com/yeshuaschaiminc,yeshuaschaiminc,Needs Review,Medium,Payfac,8398,no,yes
38965,Kehal Harfield,shlomobet@gmail.com,https://secure.cardknox.com/kehalharfield,kehalharfield,Needs Review,Medium,Payfac,8398,no,yes
41005,Emek Bracha,avrstoloff@gmail.com,https://secure.cardknox.com/emekbracha,emekbracha,Needs Review,Medium,Payfac,8398,no,yes
41223,Birchas Menachem,bmenachemm@gmail.com,https://secure.cardknox.com/birchasmenachem,birchasmenachem,Needs Review,Medium,Payfac,8398,no,yes
41376,Yeshivas Vyelipol Lakewood,vyelipollkwd@gmail.com,https://secure.cardknox.com/yeshivasvyelipollakewood,yeshivasvyelipollakewood,Needs Review,Medium,Payfac,8398,no,yes
41787,Chasdei Raichel,chasdeiraichel@gmail.com,https://secure.cardknox.com/chasdeiraichel,chasdeiraichel,Needs Review,Medium,Payfac,8398,no,yes
41400,Nitfei Dvash,"elsterns@gmail.com,8037323@gmail.com",https://secure.cardknox.com/nitfeidvash,nitfeidvash,Needs Review,Medium,Payfac,8398,no,yes
42890,Aleh Lemaala,avprupas@gmail.com,https://secure.cardknox.com/alehlemaala1,alehlemaala1,Needs Review,Medium,Payfac,8398,no,yes
43267,Reshes Cleveland,bergeryaakov@gmail.com,https://secure.cardknox.com/reshescleveland,reshescleveland,Needs Review,Medium,Payfac,8398,no,yes
43427,Cong Birchas Yitzchok,avrumiwassner@gmail.com,https://secure.cardknox.com/congbirchasyitzchok,congbirchasyitzchok,Needs Review,Medium,Payfac,8398,no,yes
44096,Komimiyus/ The North Shore Torah Center,komimiyus613@aol.com,https://secure.cardknox.com/komimiyusthenorthshoretorahcenter,komimiyusthenorthshoretorahcenter,Needs Review,Medium,Payfac,8398,no,yes
44565,CONGREGATION LEISURE LAKE SHUL,sol6438@gmail.com,https://secure.cardknox.com/congregationleisurelakeshul,congregationleisurelakeshul,Needs Review,Medium,Payfac,8398,no,yes
44775,Bais Nosson Zvi,booksbnt@gmail.com,https://secure.cardknox.com/baisnossonzvi,baisnossonzvi,Needs Review,Medium,Payfac,8398,no,yes
44974,Ohr,natrune1@gmail.com,https://secure.cardknox.com/ohr,ohr,Needs Review,Medium,Payfac,8398,no,yes
45470,Congregation Of Charm Circle,charmcirclecongregation@gmail.com,https://secure.cardknox.com/ccc,ccc,Needs Review,Medium,Payfac,8398,no,yes
45470,Congregation Of Charm Circle,charmcirclecongregation@gmail.com,https://secure.cardknox.com/congregationofcharmcircle1,congregationofcharmcircle1,Needs Review,Medium,Payfac,8398,no,yes
45472,Gizber* Cong. Khal Bais Shmiel,khalbaisshmiel@gmail.com,https://secure.cardknox.com/gizbercongkhalbaisshmiel,gizbercongkhalbaisshmiel,Needs Review,Medium,Payfac,8398,no,yes
45781,Cong Mateh Efraim,friedmanisaac@aol.com,https://secure.cardknox.com/congmatehefraim,congmatehefraim,Needs Review,Medium,Payfac,8398,no,yes
